Renderer,Driver,MSAA,width,height,FPS,seconds,celcius,fahrenheit,vddc,vddccurrent,gpu_power,core_clock,memory_clock
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,0,0.0000,32.0000,89.6000,0.6250,0.0000,0.0000,607.0000,405.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,0,1.0180,38.0000,100.4000,0.6250,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,39,2.0270,40.0000,104.0000,1.0500,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,47,3.0320,42.0000,107.6000,1.0500,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,40,4.0420,43.0000,109.4000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,37,5.0460,43.0000,109.4000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,36,6.0560,44.0000,111.2000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,36,7.0740,45.0000,113.0000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,35,8.1030,45.0000,113.0000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,36,9.1300,46.0000,114.8000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,36,10.1500,46.0000,114.8000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,36,11.1570,47.0000,116.6000,1.0620,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,38,12.1730,47.0000,116.6000,1.0620,0.0000,0.0000,569.0000,4004.0000
